                CONFIDENTIAL     6,,,,,,,,,,,,,,,,,,,,,,,,,,,
190??5ul OD???,,,,,,??/Code?GS-SOP-POLG010D-04,,,,,,,,,,,,,,,,,,,,,
,,,,,,???/Supersedes: GS-Q4-POLG010-04,,,,,??/Page?1/1,,,,,,,,,,,,,,,,
F,0.1104,0.1292,0.1357,0.1294,0.1449,0.1258,0.1103,0.1246,0.1264,0.1117,0.1081,0.1398,0.124691667,,,75.16%,84.19%,87.14%,83.10%,93.05%,80.79%,70.83%,80.01%,81.17%,71.73%,69.42%,89.78%
G,0.1259,0.1339,0.1206,0.1479,0.1248,0.1138,0.119,0.1087,0.1359,0.1303,0.1167,0.1055,0.123583333,,,80.85%,85.99%,77.45%,94.98%,80.14%,73.08%,76.42%,69.80%,87.27%,83.68%,74.94%,71.82%
H,0.1249,0.134,0.1231,0.1147,0.1243,0.104,0.1186,0.1314,0.1374,0.1404,0.1288,0.1108,0.124366667,,,85.03%,91.23%,83.81%,78.09%,84.62%,70.80%,80.74%,89.46%,93.54%,95.58%,87.69%,75.43%
,0.1161875,0.1181375,0.1180625,0.1285,0.1320625,0.118,0.114375,0.11595,0.12805,0.123325,0.11985,0.1156625,0.120680208,,,,,,,,,,,,,,
,?5ul??+195ul?,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
?1?OD?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,
A,0.05,0.04,0.04,0.04,0.04,0.04,0.07,0.06,0.06,0.06,0.06,0.07,,,,,,,,,,,,,,,
B,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,,,,,,,,,,,,,,,
C,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,,,,,,,,,,,,,,,
D,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,,,,,,,,,,,,,,,
E,0.07,0.06,0.07,0.06,0.07,0.06,0.06,0.06,0.07,0.06,0.07,0.06,,,,,,,,,,,,,,,
F,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,,,,,,,,,,,,,,,
G,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,,,,,,,,,,,,,,,
H,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.07,0.07,0.06,0.07,0.06,,,,,,,,,,,,,,,
,??????OD?,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
?1???? ul ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,
A,9,8,9,7,7,9,13,10,9,8,7,9,,,,,,,,,,,,,,,
B,10,6,8,8,6,8,8,8,8,7,7,8,,,,,,,,,,,,,,,
C,7,9,7,7,7,8,8,9,9,8,9,8,,,,,,,,,,,,,,,
D,10,8,10,8,8,8,10,7,8,7,8,9,,,,,,,,,,,,,,,
E,9,9,10,7,7,7,8,8,8,8,11,9,,,,,,,,,,,,,,,
F,8,8,8,8,7,8,10,8,8,9,10,8,,,,,,,,,,,,,,,
G,8,8,9,7,8,9,9,10,8,8,9,9,,,,,,,,,,,,,,,
H,8,8,9,8,7,9,8,8,8,6,8,8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
??,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SpectraMax 190 A260 5 nmol Testing,,,,,,V1,,,Page 1/1,,,,,,,,,,,,,,,,,
????:GS-SOP-POLG010_SPECTRA MAX 190??SOP,,,,,,,,,,,,,,,,,,,,,,,,,,,

